2024-09-16 11:19:12,141 INFO    MainThread:44283 [wandb_setup.py:_flush():77] Current SDK version is 0.18.0
2024-09-16 11:19:12,142 INFO    MainThread:44283 [wandb_setup.py:_flush():77] Configure stats pid to 44283
2024-09-16 11:19:12,142 INFO    MainThread:44283 [wandb_setup.py:_flush():77] Loading settings from /Users/vigji/.config/wandb/settings
2024-09-16 11:19:12,142 INFO    MainThread:44283 [wandb_setup.py:_flush():77] Loading settings from /Users/vigji/Desktop/python-projects/python-cimec-dario-pesenti/wandb/settings
2024-09-16 11:19:12,142 INFO    MainThread:44283 [wandb_setup.py:_flush():77] Loading settings from environment variables: {}
2024-09-16 11:19:12,142 INFO    MainThread:44283 [wandb_setup.py:_flush():77] Applying setup settings: {'_disable_service': False}
2024-09-16 11:19:12,142 INFO    MainThread:44283 [wandb_setup.py:_flush():77] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program_abspath': '/Users/vigji/Desktop/python-projects/python-cimec-dario-pesenti/train.py', 'program': '/Users/vigji/Desktop/python-projects/python-cimec-dario-pesenti/train.py'}
2024-09-16 11:19:12,142 INFO    MainThread:44283 [wandb_setup.py:_flush():77] Applying login settings: {}
2024-09-16 11:19:12,142 INFO    MainThread:44283 [wandb_setup.py:_flush():77] Applying login settings: {'api_key': '***REDACTED***'}
2024-09-16 11:19:12,142 INFO    MainThread:44283 [wandb_init.py:_log_setup():525] Logging user logs to /Users/vigji/Desktop/python-projects/python-cimec-dario-pesenti/wandb/run-20240916_111912-2kyc0wdz/logs/debug.log
2024-09-16 11:19:12,142 INFO    MainThread:44283 [wandb_init.py:_log_setup():526] Logging internal logs to /Users/vigji/Desktop/python-projects/python-cimec-dario-pesenti/wandb/run-20240916_111912-2kyc0wdz/logs/debug-internal.log
2024-09-16 11:19:12,142 INFO    MainThread:44283 [wandb_init.py:init():609] calling init triggers
2024-09-16 11:19:12,142 INFO    MainThread:44283 [wandb_init.py:init():616] wandb.init called with sweep_config: {}
config: {}
2024-09-16 11:19:12,142 INFO    MainThread:44283 [wandb_init.py:init():659] starting backend
2024-09-16 11:19:12,142 INFO    MainThread:44283 [wandb_init.py:init():663] setting up manager
2024-09-16 11:19:12,144 INFO    MainThread:44283 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-09-16 11:19:12,146 INFO    MainThread:44283 [wandb_init.py:init():671] backend started and connected
2024-09-16 11:19:12,150 INFO    MainThread:44283 [wandb_init.py:init():766] updated telemetry
2024-09-16 11:19:12,190 INFO    MainThread:44283 [wandb_init.py:init():799] communicating run to backend with 90.0 second timeout
2024-09-16 11:19:12,476 INFO    MainThread:44283 [wandb_init.py:init():850] starting run threads in backend
2024-09-16 11:19:12,633 INFO    MainThread:44283 [wandb_run.py:_console_start():2466] atexit reg
2024-09-16 11:19:12,633 INFO    MainThread:44283 [wandb_run.py:_redirect():2312] redirect: wrap_raw
2024-09-16 11:19:12,633 INFO    MainThread:44283 [wandb_run.py:_redirect():2377] Wrapping output streams.
2024-09-16 11:19:12,633 INFO    MainThread:44283 [wandb_run.py:_redirect():2402] Redirects installed.
2024-09-16 11:19:12,635 INFO    MainThread:44283 [wandb_init.py:init():893] run started, returning control to user process
2024-09-16 11:19:26,486 WARNING MsgRouterThr:44283 [router.py:message_loop():77] message_loop has been closed
